Table_Id,City,Place_Fips,Geo_Id,State,State_Fips,Total_Population
100126,Livengood,44580,16000US0244580,AK,2,10
100127,Loring,45020,16000US0245020,AK,2,0
100128,Lowell Point,45295,16000US0245295,AK,2,141
100129,Lower Kalskag,45460,16000US0245460,AK,2,317
100130,Lutak,45700,16000US0245700,AK,2,13
100131,McCarthy,45790,16000US0245790,AK,2,107
100132,McGrath,46010,16000US0246010,AK,2,346
100133,McKinley Park,46560,16000US0246560,AK,2,514
100134,Manley Hot Springs,46780,16000US0246780,AK,2,84
100135,Manokotak,46890,16000US0246890,AK,2,691
100136,Marshall,47000,16000US0247000,AK,2,350
100137,Meadow Lakes,47735,16000US0247735,AK,2,7424
100138,Mekoryuk,47990,16000US0247990,AK,2,174
100139,Mendeltna,48200,16000US0248200,AK,2,22
100140,Mentasta Lake,48540,16000US0248540,AK,2,157
100141,Mertarvik,48590,16000US0248590,AK,2,0
100142,Metlakatla,48870,16000US0248870,AK,2,1661
100143,Minto,49530,16000US0249530,AK,2,257
100144,Moose Creek,50080,16000US0250080,AK,2,728
100145,Moose Pass,50190,16000US0250190,AK,2,428
100146,Mosquito Lake,50800,16000US0250800,AK,2,126
100147,Mountain Village,51180,16000US0251180,AK,2,749
100148,Mud Bay,51455,16000US0251455,AK,2,167
100149,Nabesna,51960,16000US0251960,AK,2,0
100150,Naknek,52060,16000US0252060,AK,2,567
100151,Nanwalek,52210,16000US0252210,AK,2,238
100152,Napakiak,52390,16000US0252390,AK,2,352
100153,Napaskiak,52720,16000US0252720,AK,2,408
100154,Naukati Bay,52845,16000US0252845,AK,2,32
100155,Nelchina,52915,16000US0252915,AK,2,170
100156,Nelson Lagoon,52940,16000US0252940,AK,2,42
100157,Nenana,53050,16000US0253050,AK,2,406
100158,New Allakaket,53162,16000US0253162,AK,2,67
100159,Newhalen,53270,16000US0253270,AK,2,159
100160,New Stuyahok,53710,16000US0253710,AK,2,609
100161,Newtok,53820,16000US0253820,AK,2,388
100162,Nightmute,53930,16000US0253930,AK,2,259
100163,Nikiski,54050,16000US0254050,AK,2,4549
100164,Nikolaevsk,54085,16000US0254085,AK,2,234
100165,Nikolai,54150,16000US0254150,AK,2,113
100166,Nikolski,54260,16000US0254260,AK,2,37
100167,Ninilchik,54480,16000US0254480,AK,2,728
100168,Noatak,54700,16000US0254700,AK,2,443
